t,AVG,SD,GFP,GFPSD
35.33296,4219.25,1363.084824,1054812.5,340771.2061
35.66629,4175.454545,1178.315657,1043863.636,294578.9144
35.99962,4107.318182,1231.449454,1026829.545,307862.3634
36.33295,4025.772727,1349.056843,1006443.182,337264.2108
36.66628,4038.659091,1249.897799,1009664.773,312474.4499
36.99961,4009.022727,1328.58357,1002255.682,332145.8924
37.33294,3969.363636,1339.595827,992340.9091,334898.9569
37.66627,4059.795455,1305.829249,1014948.864,326457.3122
37.9996,4043.477273,1298.199728,1010869.318,324549.9321
38.33293,3877.568182,1298.824735,969392.0455,324706.1838
38.66626,4030.954545,1291.953757,1007738.636,322988.4392
38.99959,4056.068182,1301.90021,1014017.045,325475.0526
39.33292,4072.886364,1242.109575,1018221.591,310527.3937
39.66625,4131.818182,1404.007922,1032954.545,351001.9805
39.99958,4116.568182,1341.848489,1029142.045,335462.1222
40.33291,4122.863636,1275.12824,1030715.909,318782.0599
40.66624,4231.568182,1266.079435,1057892.045,316519.8587
40.99957,4322.886364,1311.658106,1080721.591,327914.5265
41.3329,4350.295455,1247.907748,1087573.864,311976.937
41.66623,4322.659091,1302.200337,1080664.773,325550.0843
41.99956,4374.090909,1358.562507,1093522.727,339640.6267
42.33289,4386.136364,1257.602732,1096534.091,314400.6831
42.66622,4370.340909,1308.437537,1092585.227,327109.3842
42.99955,4234.568182,1319.569651,1058642.045,329892.4129
43.33288,4288.227273,1257.171481,1072056.818,314292.8703
43.66621,4337.863636,1261.958732,1084465.909,315489.683
43.99954,4315.545455,1339.142236,1078886.364,334785.559
44.33287,4257,1339.558466,1064250,334889.6165
44.6662,4217.227273,1215.409929,1054306.818,303852.4823
44.99953,4304.477273,1245.812586,1076119.318,311453.1465
45.33286,4373.886364,1371.152905,1093471.591,342788.2263
45.66619,4265.477273,1195.836877,1066369.318,298959.2193
45.99952,4332.613636,1213.661483,1083153.409,303415.3708
46.33285,4276.045455,1261.601363,1069011.364,315400.3406
46.66618,4191.772727,1321.167029,1047943.182,330291.7573
46.99951,4263.409091,1336.530084,1065852.273,334132.521
47.33284,4284.75,1300.021183,1071187.5,325005.2957
47.66617,4128.522727,1336.7427,1032130.682,334185.675
47.9995,4233.477273,1285.497361,1058369.318,321374.3402
48.33283,4229.909091,1208.424764,1057477.273,302106.191
48.66616,4264.954545,1321.814168,1066238.636,330453.5421
48.99949,4216.568182,1322.926608,1054142.045,330731.6519
49.33282,4253.090909,1230.835882,1063272.727,307708.9705
49.66615,4281.409091,1308.76509,1070352.273,327191.2725
49.99948,4143.477273,1313.477144,1035869.318,328369.2861
50.33281,4252.431818,1201.493187,1063107.955,300373.2968
50.66614,4200.954545,1227.198852,1050238.636,306799.7129
50.99947,4192.159091,1303.561204,1048039.773,325890.3009
51.3328,4146.204545,1195.257559,1036551.136,298814.3897
51.66613,4206.295455,1306.417106,1051573.864,326604.2765
51.99946,4242.863636,1315.306147,1060715.909,328826.5367
52.33279,4261.772727,1243.519571,1065443.182,310879.8928
52.66612,4267.909091,1232.011738,1066977.273,308002.9344
52.99945,4224.113636,1365.540071,1056028.409,341385.0177
53.33278,4254.545455,1228.270375,1063636.364,307067.5938
53.66611,4219.704545,1219.963354,1054926.136,304990.8385
53.99944,4215.295455,1304.719832,1053823.864,326179.9581
54.33277,4261.568182,1278.451087,1065392.045,319612.7717
54.6661,4213.068182,1257.55868,1053267.045,314389.6699
54.99943,4254.318182,1290.610145,1063579.545,322652.5364
55.33276,4325.25,1228.535073,1081312.5,307133.7681
55.66609,4315.159091,1273.975538,1078789.773,318493.8845
55.99942,4193.840909,1317.678825,1048460.227,329419.7062
56.33275,4251.431818,1284.815875,1062857.955,321203.9687
56.66608,4235.75,1219.291962,1058937.5,304822.9906
56.99941,4400.295455,1293.715733,1100073.864,323428.9334
57.33274,4288.386364,1322.952358,1072096.591,330738.0894
57.66607,4291.272727,1337.005546,1072818.182,334251.3866
57.9994,4349.590909,1309.734099,1087397.727,327433.5248
58.33273,4294.227273,1261.795544,1073556.818,315448.8859
58.66606,4295.818182,1239.420594,1073954.545,309855.1484
58.99939,4262.159091,1313.356572,1065539.773,328339.143
59.33272,4280.909091,1274.353677,1070227.273,318588.4192
59.66605,4081.545455,1199.693458,1020386.364,299923.3645
59.99938,4089.659091,1402.067824,1022414.773,350516.956
60.33271,4215.772727,1374.721991,1053943.182,343680.4977
60.66604,4196.931818,1436.88959,1049232.955,359222.3974
60.99937,4194.181818,1287.224746,1048545.455,321806.1866
61.3327,4246.522727,1271.454697,1061630.682,317863.6742
61.66603,4194.295455,1249.403943,1048573.864,312350.9858
61.99936,4246.090909,1345.550874,1061522.727,336387.7185
62.33269,4206.113636,1278.787511,1051528.409,319696.8778
62.66602,4364.772727,1296.676465,1091193.182,324169.1162
