multiplier,avg_fraction_on_state,std_fraction_on_state,avg_total_changes,std_total_changes,avg_frequency_changes_per_hour,std_frequency_changes_per_hour
10.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,6.722204640239069e-7,6.236968272674116e-7,68.4,61.096644752392095,0.95,0.8485645104498901
100000.0,8.59359913930677e-7,1.5941369693785564e-7,96.8,21.614809737770074,1.3444444444444443,0.30020569080236215
1.0e6,6.246137315872e-7,9.024430304810698e-8,167.2,22.47665455533808,2.322222222222222,0.3121757577130288
