,High,Close to Average,Low
159,69257306.04,20319177.45,6136723.32
160,71649732.18,20363408.13,6122263.29
161,72244861.65,20270126.76,6328106.07
162,71177654.73,19968734.37,6228587.04
163,70611445.32,20145090.03,6094477.35
164,71320553.85,20333070.42,6344550.81
165,71868050.28,20414160,6080300.85
166,73479351.27,20561312.07,6093059.7
167,71685173.43,20427485.91,6084837.33
168,72614301.24,20617451.01,6002046.57
169,72972683.16,20591933.31,5974260.63
170,72688586.1,20459808.33,6089657.34
171,69186423.54,20478521.31,5906213.43
172,68398493.67,20219374.89,5879845.14
173,69302954.37,20910904.56,6023878.38
174,71466855.33,20244892.59,6169612.8
175,70585644.09,20520200.22,6225468.21
176,71035889.73,20402818.8,6062154.93
177,72457225.62,20475402.48,6109220.91
178,70782697.44,20147641.8,6256089.45
179,69199182.39,20320028.04,6180954
180,71759174.76,20803446.69,5878711.02
181,68097101.28,20686632.33,6006866.58
182,68198605.02,20529556.71,6123964.47
183,70103926.62,20727177.12,5814349.71
184,71505415.41,20811669.06,6198532.86
185,71674682.82,20772258.39,5843269.77
186,72516766.92,20885386.86,6228019.98
187,69996185.22,20766020.73,6169045.74
188,67563497.82,20876597.43,6053649.03
189,69428558.16,21278926.5,6085404.39
190,69560116.08,21028569.51,6080300.85
191,72036467.1,21018078.9,6251269.44
192,72972399.63,20983771.77,6257790.63
193,70905465.93,21263048.82,6053365.5
194,72925050.12,21016661.25,6265162.41
195,71874571.47,21210028.71,6203636.4
196,71221885.41,20945211.69,6123680.94
197,74458380.36,20978951.76,6247583.55
198,71758040.64,21280344.15,6034368.99
199,73196388.33,21007304.76,6330941.37
200,71257326.66,21292819.47,6250135.32
201,72295897.05,21323157.18,6164225.73
202,75051525.12,21186495.72,6032100.75
203,74506296.93,20943226.98,5915002.86
204,71373290.43,21218251.08,5964337.08
205,73502317.2,21241217.01,6004314.81
206,73729141.2,21194151.03,6127083.3
207,72428872.62,21146234.46,5978513.58
208,71095998.09,21262198.23,6234541.17
209,73814200.2,21575215.35,5960084.13
210,72162921.48,21325141.89,6171597.51
211,72851332.32,21699117.96,6193145.79
212,72734517.96,21421258.56,6142393.92
213,75212853.69,21279210.03,5951861.76
214,73815901.38,21229875.81,6073496.13
215,71891583.27,21417289.14,6098163.24
